symbol,close,dateTimeUtc,dateTimeEst
NTRNUSDT,1.6071,2024-03-12 03:45:00,2024-03-11 22:45:00
NMRUSDT,44.73,2024-03-12 03:45:00,2024-03-11 22:45:00
NKNUSDT,0.1739,2024-03-12 03:45:00,2024-03-11 22:45:00
NFPUSDT,0.99722,2024-03-12 03:45:00,2024-03-11 22:45:00
NEXOUSDT,1.495,2024-03-12 03:45:00,2024-03-11 22:45:00
NEOUSDT,17.69,2024-03-12 03:45:00,2024-03-11 22:45:00
NEARUSDT,6.839,2024-03-12 03:45:00,2024-03-11 22:45:00
MTLUSDT,2.378,2024-03-12 03:45:00,2024-03-11 22:45:00
MOVRUSDT,24.123,2024-03-12 03:45:00,2024-03-11 22:45:00
MLNUSDT,24.23,2024-03-12 03:45:00,2024-03-11 22:45:00
MKRUSDT,2588.0,2024-03-12 03:45:00,2024-03-11 22:45:00
MINAUSDT,1.5901,2024-03-12 03:45:00,2024-03-11 22:45:00
METISUSDT,131.26,2024-03-12 03:45:00,2024-03-11 22:45:00
MEMEUSDT,0.046991,2024-03-12 03:45:00,2024-03-11 22:45:00
MDXUSDT,0.08323,2024-03-12 03:45:00,2024-03-11 22:45:00
MDTUSDT,0.11908,2024-03-12 03:45:00,2024-03-11 22:45:00
MBOXUSDT,0.5611,2024-03-12 03:45:00,2024-03-11 22:45:00
MBLUSDT,0.00643,2024-03-12 03:45:00,2024-03-11 22:45:00
MAVUSDT,0.6862,2024-03-12 03:45:00,2024-03-11 22:45:00
MATICUSDT,1.2146,2024-03-12 03:45:00,2024-03-11 22:45:00
MASKUSDT,5.077,2024-03-12 03:45:00,2024-03-11 22:45:00
MANTAUSDT,3.854,2024-03-12 03:45:00,2024-03-11 22:45:00
MANAUSDT,0.7676,2024-03-12 03:45:00,2024-03-11 22:45:00
MAGICUSDT,1.402,2024-03-12 03:45:00,2024-03-11 22:45:00
LUNCUSDT,0.00018862,2024-03-12 03:45:00,2024-03-11 22:45:00
LUNAUSDT,1.1039,2024-03-12 03:45:00,2024-03-11 22:45:00
LTOUSDT,0.1281,2024-03-12 03:45:00,2024-03-11 22:45:00
LTCUSDT,98.86,2024-03-12 03:45:00,2024-03-11 22:45:00
LSKUSDT,2.125,2024-03-12 03:45:00,2024-03-11 22:45:00
LRCUSDT,0.4305,2024-03-12 03:45:00,2024-03-11 22:45:00
LQTYUSDT,1.774,2024-03-12 03:45:00,2024-03-11 22:45:00
LPTUSDT,20.894,2024-03-12 03:45:00,2024-03-11 22:45:00
LOOMUSDT,0.11998,2024-03-12 03:45:00,2024-03-11 22:45:00
LOKAUSDT,0.4407,2024-03-12 03:45:00,2024-03-11 22:45:00
LITUSDT,1.672,2024-03-12 03:45:00,2024-03-11 22:45:00
LINKUSDT,20.856,2024-03-12 03:45:00,2024-03-11 22:45:00
LINAUSDT,0.014653,2024-03-12 03:45:00,2024-03-11 22:45:00
LEVERUSDT,0.002872,2024-03-12 03:45:00,2024-03-11 22:45:00
LDOUSDT,3.353,2024-03-12 03:45:00,2024-03-11 22:45:00
LAZIOUSDT,3.12,2024-03-12 03:45:00,2024-03-11 22:45:00
KSMUSDT,54.36,2024-03-12 03:45:00,2024-03-11 22:45:00
KP3RUSDT,93.34,2024-03-12 03:45:00,2024-03-11 22:45:00
KNCUSDT,0.9392,2024-03-12 03:45:00,2024-03-11 22:45:00
KMDUSDT,0.3714,2024-03-12 03:45:00,2024-03-11 22:45:00
KLAYUSDT,0.2977,2024-03-12 03:45:00,2024-03-11 22:45:00
KEYUSDT,0.008469,2024-03-12 03:45:00,2024-03-11 22:45:00
KDAUSDT,1.678,2024-03-12 03:45:00,2024-03-11 22:45:00
KAVAUSDT,1.0637,2024-03-12 03:45:00,2024-03-11 22:45:00
JUVUSDT,2.851,2024-03-12 03:45:00,2024-03-11 22:45:00
JTOUSDT,2.8749,2024-03-12 03:45:00,2024-03-11 22:45:00
JSTUSDT,0.04257,2024-03-12 03:45:00,2024-03-11 22:45:00
JOEUSDT,0.6365,2024-03-12 03:45:00,2024-03-11 22:45:00
JASMYUSDT,0.021757,2024-03-12 03:45:00,2024-03-11 22:45:00
IRISUSDT,0.04021,2024-03-12 03:45:00,2024-03-11 22:45:00
IQUSDT,0.014309,2024-03-12 03:45:00,2024-03-11 22:45:00
IOTXUSDT,0.08006,2024-03-12 03:45:00,2024-03-11 22:45:00
IOTAUSDT,0.3787,2024-03-12 03:45:00,2024-03-11 22:45:00
IOSTUSDT,0.01338,2024-03-12 03:45:00,2024-03-11 22:45:00
INJUSDT,42.64,2024-03-12 03:45:00,2024-03-11 22:45:00
IMXUSDT,3.6763,2024-03-12 03:45:00,2024-03-11 22:45:00
ILVUSDT,140.76,2024-03-12 03:45:00,2024-03-11 22:45:00
IDUSDT,1.4326,2024-03-12 03:45:00,2024-03-11 22:45:00
IDEXUSDT,0.08793,2024-03-12 03:45:00,2024-03-11 22:45:00
ICXUSDT,0.3505,2024-03-12 03:45:00,2024-03-11 22:45:00
ICPUSDT,14.711,2024-03-12 03:45:00,2024-03-11 22:45:00
HOTUSDT,0.004085,2024-03-12 03:45:00,2024-03-11 22:45:00
HOOKUSDT,1.5573,2024-03-12 03:45:00,2024-03-11 22:45:00
HIVEUSDT,0.471,2024-03-12 03:45:00,2024-03-11 22:45:00
