symbol,close,dateTimeUtc,dateTimeEst
CELOUSDT,1.6235,2024-03-12 03:45:00,2024-03-11 22:45:00
CAKEUSDT,4.249,2024-03-12 03:45:00,2024-03-11 22:45:00
C98USDT,0.4391,2024-03-12 03:45:00,2024-03-11 22:45:00
BTCUSDT,71514.41,2024-03-12 03:45:00,2024-03-11 22:45:00
BONDUSDT,4.456,2024-03-12 03:45:00,2024-03-11 22:45:00
BNXUSDT,0.6136,2024-03-12 03:45:00,2024-03-11 22:45:00
BNTUSDT,0.9934,2024-03-12 03:45:00,2024-03-11 22:45:00
BLZUSDT,0.3767,2024-03-12 03:45:00,2024-03-11 22:45:00
BLURUSDT,0.6963,2024-03-12 03:45:00,2024-03-11 22:45:00
BICOUSDT,0.6569,2024-03-12 03:45:00,2024-03-11 22:45:00
BELUSDT,0.9405,2024-03-12 03:45:00,2024-03-11 22:45:00
BEAMXUSDT,0.04053,2024-03-12 03:45:00,2024-03-11 22:45:00
BCHUSDT,433.5,2024-03-12 03:45:00,2024-03-11 22:45:00
BATUSDT,0.3633,2024-03-12 03:45:00,2024-03-11 22:45:00
BANDUSDT,2.587,2024-03-12 03:45:00,2024-03-11 22:45:00
BALUSDT,5.92,2024-03-12 03:45:00,2024-03-11 22:45:00
BAKEUSDT,0.4621,2024-03-12 03:45:00,2024-03-11 22:45:00
BADGERUSDT,6.102,2024-03-12 03:45:00,2024-03-11 22:45:00
AXSUSDT,12.742,2024-03-12 03:45:00,2024-03-11 22:45:00
AXLUSDT,2.3196,2024-03-12 03:45:00,2024-03-11 22:45:00
AVAXUSDT,48.26,2024-03-12 03:45:00,2024-03-11 22:45:00
AUDIOUSDT,0.3291,2024-03-12 03:45:00,2024-03-11 22:45:00
AUCTIONUSDT,27.48,2024-03-12 03:45:00,2024-03-11 22:45:00
ATOMUSDT,13.614,2024-03-12 03:45:00,2024-03-11 22:45:00
ATAUSDT,0.1626,2024-03-12 03:45:00,2024-03-11 22:45:00
ASTRUSDT,0.1625,2024-03-12 03:45:00,2024-03-11 22:45:00
ARUSDT,39.996,2024-03-12 03:45:00,2024-03-11 22:45:00
ARPAUSDT,0.08043,2024-03-12 03:45:00,2024-03-11 22:45:00
ARKUSDT,1.1252,2024-03-12 03:45:00,2024-03-11 22:45:00
ARKMUSDT,3.1024,2024-03-12 03:45:00,2024-03-11 22:45:00
APTUSDT,13.5583,2024-03-12 03:45:00,2024-03-11 22:45:00
API3USDT,3.928,2024-03-12 03:45:00,2024-03-11 22:45:00
APEUSDT,2.288,2024-03-12 03:45:00,2024-03-11 22:45:00
ANKRUSDT,0.05142,2024-03-12 03:45:00,2024-03-11 22:45:00
ALTUSDT,0.62768,2024-03-12 03:45:00,2024-03-11 22:45:00
ALPHAUSDT,0.1987,2024-03-12 03:45:00,2024-03-11 22:45:00
ALICEUSDT,2.277,2024-03-12 03:45:00,2024-03-11 22:45:00
ALGOUSDT,0.2885,2024-03-12 03:45:00,2024-03-11 22:45:00
AIUSDT,2.01,2024-03-12 03:45:00,2024-03-11 22:45:00
AGLDUSDT,1.81,2024-03-12 03:45:00,2024-03-11 22:45:00
AGIXUSDT,1.23029,2024-03-12 03:45:00,2024-03-11 22:45:00
ADAUSDT,0.7569,2024-03-12 03:45:00,2024-03-11 22:45:00
ACHUSDT,0.03516,2024-03-12 03:45:00,2024-03-11 22:45:00
ACEUSDT,12.9188,2024-03-12 03:45:00,2024-03-11 22:45:00
AAVEUSDT,134.39,2024-03-12 03:45:00,2024-03-11 22:45:00
1INCHUSDT,0.6518,2024-03-12 03:45:00,2024-03-11 22:45:00
1000SATSUSDT,0.0006761,2024-03-12 03:45:00,2024-03-11 22:45:00
