type,symbol,d,no,no_p,no_l,wr,tp2,tl2,tg2,inv2,tir2$,tp3,tl3,tg3,inv3,tir3$
total,RONINUSDT,0.0,1,1,0,100.0%,3.0%,-0.0%,3.0%,1000,1030.0,2.6%,-0.0%,2.6%,1000,1026.0
total,JASMYUSDT,0.0,1,1,0,100.0%,3.0%,-0.0%,3.0%,1000,1030.0,5.68%,-0.0%,5.68%,1000,1056.8
total,OGNUSDT,15.0,2,2,0,100.0%,6.0%,-0.0%,6.0%,1000,1060.0,11.36%,-0.0%,11.36%,1000,1113.6
total,AXSUSDT,21.17,3,3,0,100.0%,9.0%,-0.0%,9.0%,1000,1090.0,17.04%,-0.0%,17.04%,1000,1170.4
total,COMBOUSDT,23.33,3,3,0,100.0%,7.0%,-0.0%,7.0%,1000,1070.0,9.28%,-0.0%,9.28%,1000,1092.8
total,IOTXUSDT,0.0,1,1,0,100.0%,3.0%,-0.0%,3.0%,1000,1030.0,5.68%,-0.0%,5.68%,1000,1056.8
total,UMAUSDT,0.0,1,1,0,100.0%,3.0%,-0.0%,3.0%,1000,1030.0,2.6%,-0.0%,2.6%,1000,1026.0
total,XVGUSDT,0.0,1,1,0,100.0%,3.0%,-0.0%,3.0%,1000,1030.0,5.68%,-0.0%,5.68%,1000,1056.8
total,YFIUSDT,0.0,1,1,0,100.0%,3.0%,-0.0%,3.0%,1000,1030.0,5.68%,-0.0%,5.68%,1000,1056.8
total,SOLUSDT,0.0,1,1,0,100.0%,3.0%,-0.0%,3.0%,1000,1030.0,5.68%,-0.0%,5.68%,1000,1056.8
total,ETCUSDT,22.0,2,2,0,100.0%,6.0%,-0.0%,6.0%,1000,1060.0,8.28%,-0.0%,8.28%,1000,1082.8
total,CFXUSDT,16.33,2,2,0,100.0%,4.0%,-0.0%,4.0%,1000,1040.0,6.68%,-0.0%,6.68%,1000,1066.8
total,HOTUSDT,0.0,1,1,0,100.0%,3.0%,-0.0%,3.0%,1000,1030.0,5.68%,-0.0%,5.68%,1000,1056.8
total,LITUSDT,22.5,2,2,0,100.0%,4.0%,-0.0%,4.0%,1000,1040.0,6.68%,-0.0%,6.68%,1000,1066.8
total,ORDIUSDT,0.0,1,1,0,100.0%,3.0%,-0.0%,3.0%,1000,1030.0,5.68%,-0.0%,5.68%,1000,1056.8
total,FTMUSDT,0.0,1,1,0,100.0%,3.0%,-0.0%,3.0%,1000,1030.0,5.68%,-0.0%,5.68%,1000,1056.8
total,GRTUSDT,22.67,2,2,0,100.0%,6.0%,-0.0%,6.0%,1000,1060.0,8.28%,-0.0%,8.28%,1000,1082.8
total,NKNUSDT,22.67,2,2,0,100.0%,4.0%,-0.0%,4.0%,1000,1040.0,6.68%,-0.0%,6.68%,1000,1066.8
total,OXTUSDT,13.83,2,2,0,100.0%,4.0%,-0.0%,4.0%,1000,1040.0,6.68%,-0.0%,6.68%,1000,1066.8
total,SUSHIUSDT,23.0,2,2,0,100.0%,4.0%,-0.0%,4.0%,1000,1040.0,6.68%,-0.0%,6.68%,1000,1066.8
total,RDNTUSDT,23.5,3,3,0,100.0%,7.0%,-0.0%,7.0%,1000,1070.0,9.28%,-0.0%,9.28%,1000,1092.8
total,XTZUSDT,23.67,2,2,0,100.0%,6.0%,-0.0%,6.0%,1000,1060.0,11.36%,-0.0%,11.36%,1000,1113.6
total,FRONTUSDT,19.0,5,5,0,100.0%,15.0%,-0.0%,15.0%,1000,1150.0,19.16%,-0.0%,19.16%,1000,1191.6
total,KLAYUSDT,0.0,1,1,0,100.0%,3.0%,-0.0%,3.0%,1000,1030.0,5.68%,-0.0%,5.68%,1000,1056.8
total,FILUSDT,0.0,1,1,0,100.0%,3.0%,-0.0%,3.0%,1000,1030.0,5.68%,-0.0%,5.68%,1000,1056.8
total,BICOUSDT,0.0,1,1,0,100.0%,3.0%,-0.0%,3.0%,1000,1030.0,5.68%,-0.0%,5.68%,1000,1056.8
total,DASHUSDT,14.83,2,2,0,100.0%,4.0%,-0.0%,4.0%,1000,1040.0,3.6%,-0.0%,3.6%,1000,1036.0
total,OCEANUSDT,0.0,1,1,0,100.0%,3.0%,-0.0%,3.0%,1000,1030.0,5.68%,-0.0%,5.68%,1000,1056.8
total,SFPUSDT,0.0,1,1,0,100.0%,3.0%,-0.0%,3.0%,1000,1030.0,5.68%,-0.0%,5.68%,1000,1056.8
total,IOTAUSDT,20.0,3,3,0,100.0%,9.0%,-0.0%,9.0%,1000,1090.0,13.96%,-0.0%,13.96%,1000,1139.6
total,BALUSDT,22.83,3,3,0,100.0%,9.0%,-0.0%,9.0%,1000,1090.0,13.96%,-0.0%,13.96%,1000,1139.6
total,ARBUSDT,0.0,1,1,0,100.0%,3.0%,-0.0%,3.0%,1000,1030.0,5.68%,-0.0%,5.68%,1000,1056.8
total,HBARUSDT,0.0,1,1,0,100.0%,3.0%,-0.0%,3.0%,1000,1030.0,5.68%,-0.0%,5.68%,1000,1056.8
total,ZILUSDT,25.33,4,4,0,100.0%,10.0%,-0.0%,10.0%,1000,1100.0,14.96%,-0.0%,14.96%,1000,1149.6
total,MDTUSDT,0.0,1,1,0,100.0%,3.0%,-0.0%,3.0%,1000,1030.0,5.68%,-0.0%,5.68%,1000,1056.8
total,IMXUSDT,0.0,1,1,0,100.0%,3.0%,-0.0%,3.0%,1000,1030.0,5.68%,-0.0%,5.68%,1000,1056.8
total,CTKUSDT,20.83,3,3,0,100.0%,7.0%,-0.0%,7.0%,1000,1070.0,9.28%,-0.0%,9.28%,1000,1092.8
total,SUPERUSDT,0.0,1,1,0,100.0%,1.0%,-0.0%,1.0%,1000,1010.0,1.0%,-0.0%,1.0%,1000,1010.0
total,KSMUSDT,22.67,3,3,0,100.0%,9.0%,-0.0%,9.0%,1000,1090.0,10.88%,-0.0%,10.88%,1000,1108.8
total,BELUSDT,21.5,3,3,0,100.0%,9.0%,-0.0%,9.0%,1000,1090.0,13.96%,-0.0%,13.96%,1000,1139.6
