type,symbol,d,no,no_p,no_l,wr,tp2,tl2,tg2,inv2,tir2$,tp3,tl3,tg3,inv3,tir3$
total,COTIUSDT,115.67,6,5,1,83.33%,9.0%,-6.0%,3.0%,1000,1030.0,14.36%,-6.0%,8.36%,1000,1083.6
total,GRTUSDT,71.83,6,5,1,83.33%,13.0%,-6.0%,7.0%,1000,1070.0,23.72%,-6.0%,17.72%,1000,1177.2
total,FTMUSDT,103.83,6,5,1,83.33%,11.0%,-6.0%,5.0%,1000,1050.0,15.96%,-6.0%,9.96%,1000,1099.6
total,IMXUSDT,75.83,6,5,1,83.33%,15.0%,-6.0%,9.0%,1000,1090.0,22.24%,-6.0%,16.24%,1000,1162.4
total,SNTUSDT,133.67,6,5,1,83.33%,7.0%,-6.0%,1.0%,1000,1010.0,9.68%,-6.0%,3.68%,1000,1036.8
total,C98USDT,102.67,6,5,1,83.33%,11.0%,-6.0%,5.0%,1000,1050.0,15.96%,-6.0%,9.96%,1000,1099.6
total,HOTUSDT,88.0,6,5,1,83.33%,11.0%,-6.0%,5.0%,1000,1050.0,12.88%,-6.0%,6.88%,1000,1068.8
total,LQTYUSDT,131.33,6,5,1,83.33%,13.0%,-6.0%,7.0%,1000,1070.0,20.64%,-6.0%,14.64%,1000,1146.4
total,APTUSDT,70.83,5,4,1,80.0%,12.0%,-6.0%,6.0%,1000,1060.0,19.64%,-6.0%,13.64%,1000,1136.4
total,JOEUSDT,95.67,5,4,1,80.0%,10.0%,-6.0%,4.0%,1000,1040.0,18.04%,-6.0%,12.04%,1000,1120.4
total,ARUSDT,71.5,5,4,1,80.0%,10.0%,-6.0%,4.0%,1000,1040.0,14.96%,-6.0%,8.96%,1000,1089.6
total,NMRUSDT,104.33,5,4,1,80.0%,8.0%,-6.0%,2.0%,1000,1020.0,10.28%,-6.0%,4.28%,1000,1042.8
total,SUIUSDT,85.33,5,4,1,80.0%,10.0%,-6.0%,4.0%,1000,1040.0,18.04%,-6.0%,12.04%,1000,1120.4
total,UNFIUSDT,117.83,5,4,1,80.0%,8.0%,-6.0%,2.0%,1000,1020.0,10.28%,-6.0%,4.28%,1000,1042.8
total,IDEXUSDT,119.0,5,4,1,80.0%,10.0%,-6.0%,4.0%,1000,1040.0,18.04%,-6.0%,12.04%,1000,1120.4
total,FETUSDT,100.67,5,4,1,80.0%,6.0%,-6.0%,0.0%,1000,1000.0,8.68%,-6.0%,2.68%,1000,1026.8
total,XRPUSDT,105.67,5,4,1,80.0%,12.0%,-6.0%,6.0%,1000,1060.0,19.64%,-6.0%,13.64%,1000,1136.4
total,STMXUSDT,70.67,5,4,1,80.0%,10.0%,-6.0%,4.0%,1000,1040.0,11.88%,-6.0%,5.88%,1000,1058.8
total,CELRUSDT,85.33,5,4,1,80.0%,10.0%,-6.0%,4.0%,1000,1040.0,14.96%,-6.0%,8.96%,1000,1089.6
total,ONEUSDT,88.33,5,4,1,80.0%,12.0%,-6.0%,6.0%,1000,1060.0,16.56%,-6.0%,10.56%,1000,1105.6
total,VETUSDT,133.67,5,4,1,80.0%,8.0%,-6.0%,2.0%,1000,1020.0,10.28%,-6.0%,4.28%,1000,1042.8
total,OPUSDT,104.33,5,4,1,80.0%,12.0%,-6.0%,6.0%,1000,1060.0,19.64%,-6.0%,13.64%,1000,1136.4
total,KLAYUSDT,101.17,5,4,1,80.0%,10.0%,-6.0%,4.0%,1000,1040.0,14.96%,-6.0%,8.96%,1000,1089.6
total,REEFUSDT,79.5,5,4,1,80.0%,10.0%,-6.0%,4.0%,1000,1040.0,11.88%,-6.0%,5.88%,1000,1058.8
total,DUSKUSDT,96.0,5,4,1,80.0%,8.0%,-6.0%,2.0%,1000,1020.0,13.36%,-6.0%,7.36%,1000,1073.6
total,SKLUSDT,70.67,5,4,1,80.0%,10.0%,-6.0%,4.0%,1000,1040.0,11.88%,-6.0%,5.88%,1000,1058.8
total,EOSUSDT,85.67,5,4,1,80.0%,10.0%,-6.0%,4.0%,1000,1040.0,14.96%,-6.0%,8.96%,1000,1089.6
total,OGNUSDT,125.67,9,7,2,77.78%,13.0%,-12.0%,1.0%,1000,1010.0,17.96%,-12.0%,5.96%,1000,1059.6
total,UMAUSDT,76.33,4,3,1,75.0%,5.0%,-6.0%,-1.0%,1000,990.0,7.68%,-6.0%,1.68%,1000,1016.8
total,AAVEUSDT,77.5,4,3,1,75.0%,7.0%,-6.0%,1.0%,1000,1010.0,6.2%,-6.0%,0.2%,1000,1002.0
total,XLMUSDT,91.33,4,3,1,75.0%,7.0%,-6.0%,1.0%,1000,1010.0,12.36%,-6.0%,6.36%,1000,1063.6
total,SXPUSDT,76.67,4,3,1,75.0%,7.0%,-6.0%,1.0%,1000,1010.0,9.28%,-6.0%,3.28%,1000,1032.8
total,XTZUSDT,78.83,4,3,1,75.0%,9.0%,-6.0%,3.0%,1000,1030.0,10.88%,-6.0%,4.88%,1000,1048.8
total,ALGOUSDT,95.5,8,6,2,75.0%,14.0%,-12.0%,2.0%,1000,1020.0,21.64%,-12.0%,9.64%,1000,1096.4
total,BANDUSDT,76.83,4,3,1,75.0%,9.0%,-6.0%,3.0%,1000,1030.0,10.88%,-6.0%,4.88%,1000,1048.8
total,CHRUSDT,140.83,8,6,2,75.0%,16.0%,-12.0%,4.0%,1000,1040.0,23.24%,-12.0%,11.24%,1000,1112.4
total,HBARUSDT,91.33,4,3,1,75.0%,7.0%,-6.0%,1.0%,1000,1010.0,9.28%,-6.0%,3.28%,1000,1032.8
total,PERPUSDT,84.83,4,3,1,75.0%,9.0%,-6.0%,3.0%,1000,1030.0,13.96%,-6.0%,7.96%,1000,1079.6
total,NEARUSDT,56.67,4,3,1,75.0%,7.0%,-6.0%,1.0%,1000,1010.0,12.36%,-6.0%,6.36%,1000,1063.6
total,RLCUSDT,80.17,4,3,1,75.0%,5.0%,-6.0%,-1.0%,1000,990.0,4.6%,-6.0%,-1.4%,1000,986.0
total,MKRUSDT,75.5,4,3,1,75.0%,9.0%,-6.0%,3.0%,1000,1030.0,13.96%,-6.0%,7.96%,1000,1079.6
total,HIFIUSDT,134.0,4,3,1,75.0%,7.0%,-6.0%,1.0%,1000,1010.0,9.28%,-6.0%,3.28%,1000,1032.8
total,FILUSDT,109.67,4,3,1,75.0%,7.0%,-6.0%,1.0%,1000,1010.0,9.28%,-6.0%,3.28%,1000,1032.8
total,GMTUSDT,86.5,4,3,1,75.0%,7.0%,-6.0%,1.0%,1000,1010.0,12.36%,-6.0%,6.36%,1000,1063.6
total,1INCHUSDT,48.0,4,3,1,75.0%,9.0%,-6.0%,3.0%,1000,1030.0,10.88%,-6.0%,4.88%,1000,1048.8
total,ATAUSDT,130.5,7,5,2,71.43%,11.0%,-12.0%,-1.0%,1000,990.0,15.96%,-12.0%,3.96%,1000,1039.6
total,PHBUSDT,133.83,7,5,2,71.43%,9.0%,-12.0%,-3.0%,1000,970.0,8.2%,-12.0%,-3.8%,1000,962.0
total,MINAUSDT,114.67,7,5,2,71.43%,11.0%,-12.0%,-1.0%,1000,990.0,15.96%,-12.0%,3.96%,1000,1039.6
total,WLDUSDT,74.33,7,5,2,71.43%,13.0%,-12.0%,1.0%,1000,1010.0,20.64%,-12.0%,8.64%,1000,1086.4
total,LEVERUSDT,128.0,7,5,2,71.43%,15.0%,-12.0%,3.0%,1000,1030.0,22.24%,-12.0%,10.24%,1000,1102.4
total,OXTUSDT,102.83,7,5,2,71.43%,5.0%,-12.0%,-7.0%,1000,930.0,5.0%,-12.0%,-7.0%,1000,930.0
total,COMBOUSDT,148.0,13,9,4,69.23%,23.0%,-24.0%,-1.0%,1000,990.0,29.44%,-24.0%,5.44%,1000,1054.4
total,SEIUSDT,29.5,3,2,1,66.67%,6.0%,-6.0%,0.0%,1000,1000.0,11.36%,-6.0%,5.36%,1000,1053.6
total,BADGERUSDT,116.67,6,4,2,66.67%,8.0%,-12.0%,-4.0%,1000,960.0,10.28%,-12.0%,-1.72%,1000,982.8
total,ZENUSDT,105.5,3,2,1,66.67%,4.0%,-6.0%,-2.0%,1000,980.0,6.68%,-6.0%,0.68%,1000,1006.8
total,KAVAUSDT,70.67,3,2,1,66.67%,6.0%,-6.0%,0.0%,1000,1000.0,11.36%,-6.0%,5.36%,1000,1053.6
total,UNIUSDT,58.0,3,2,1,66.67%,6.0%,-6.0%,0.0%,1000,1000.0,8.28%,-6.0%,2.28%,1000,1022.8
total,RUNEUSDT,74.17,3,2,1,66.67%,6.0%,-6.0%,0.0%,1000,1000.0,8.28%,-6.0%,2.28%,1000,1022.8
total,WAXPUSDT,57.17,3,2,1,66.67%,6.0%,-6.0%,0.0%,1000,1000.0,11.36%,-6.0%,5.36%,1000,1053.6
total,RNDRUSDT,40.5,3,2,1,66.67%,6.0%,-6.0%,0.0%,1000,1000.0,8.28%,-6.0%,2.28%,1000,1022.8
total,POWRUSDT,62.0,3,2,1,66.67%,6.0%,-6.0%,0.0%,1000,1000.0,11.36%,-6.0%,5.36%,1000,1053.6
total,ZECUSDT,54.83,3,2,1,66.67%,4.0%,-6.0%,-2.0%,1000,980.0,6.68%,-6.0%,0.68%,1000,1006.8
total,LINKUSDT,67.67,6,4,2,66.67%,6.0%,-12.0%,-6.0%,1000,940.0,8.68%,-12.0%,-3.32%,1000,966.8
total,EGLDUSDT,80.83,3,2,1,66.67%,6.0%,-6.0%,0.0%,1000,1000.0,11.36%,-6.0%,5.36%,1000,1053.6
total,DGBUSDT,64.5,3,2,1,66.67%,6.0%,-6.0%,0.0%,1000,1000.0,8.28%,-6.0%,2.28%,1000,1022.8
total,API3USDT,121.5,6,4,2,66.67%,10.0%,-12.0%,-2.0%,1000,980.0,18.04%,-12.0%,6.04%,1000,1060.4
total,CYBERUSDT,30.67,3,2,1,66.67%,6.0%,-6.0%,0.0%,1000,1000.0,11.36%,-6.0%,5.36%,1000,1053.6
total,LDOUSDT,92.0,6,4,2,66.67%,8.0%,-12.0%,-4.0%,1000,960.0,10.28%,-12.0%,-1.72%,1000,982.8
total,BELUSDT,114.33,6,4,2,66.67%,10.0%,-12.0%,-2.0%,1000,980.0,18.04%,-12.0%,6.04%,1000,1060.4
total,STXUSDT,131.17,9,6,3,66.67%,12.0%,-18.0%,-6.0%,1000,940.0,13.88%,-18.0%,-4.12%,1000,958.8
total,XVSUSDT,117.83,6,4,2,66.67%,10.0%,-12.0%,-2.0%,1000,980.0,14.96%,-12.0%,2.96%,1000,1029.6
total,TLMUSDT,76.83,6,4,2,66.67%,6.0%,-12.0%,-6.0%,1000,940.0,8.68%,-12.0%,-3.32%,1000,966.8
total,FRONTUSDT,122.5,6,4,2,66.67%,10.0%,-12.0%,-2.0%,1000,980.0,14.96%,-12.0%,2.96%,1000,1029.6
total,BLZUSDT,108.0,6,4,2,66.67%,12.0%,-12.0%,0.0%,1000,1000.0,22.72%,-12.0%,10.72%,1000,1107.2
total,BNXUSDT,112.83,6,4,2,66.67%,10.0%,-12.0%,-2.0%,1000,980.0,18.04%,-12.0%,6.04%,1000,1060.4
total,CTSIUSDT,115.5,6,4,2,66.67%,6.0%,-12.0%,-6.0%,1000,940.0,8.68%,-12.0%,-3.32%,1000,966.8
total,ILVUSDT,105.33,3,2,1,66.67%,6.0%,-6.0%,0.0%,1000,1000.0,11.36%,-6.0%,5.36%,1000,1053.6
total,RADUSDT,114.0,6,4,2,66.67%,10.0%,-12.0%,-2.0%,1000,980.0,14.96%,-12.0%,2.96%,1000,1029.6
total,ETHUSDT,78.83,3,2,1,66.67%,4.0%,-6.0%,-2.0%,1000,980.0,6.68%,-6.0%,0.68%,1000,1006.8
total,IDUSDT,111.67,3,2,1,66.67%,6.0%,-6.0%,0.0%,1000,1000.0,11.36%,-6.0%,5.36%,1000,1053.6
total,DYDXUSDT,96.83,3,2,1,66.67%,6.0%,-6.0%,0.0%,1000,1000.0,5.2%,-6.0%,-0.8%,1000,992.0
total,YGGUSDT,104.17,6,4,2,66.67%,10.0%,-12.0%,-2.0%,1000,980.0,11.88%,-12.0%,-0.12%,1000,998.8
total,RSRUSDT,104.5,8,5,3,62.5%,9.0%,-18.0%,-9.0%,1000,910.0,11.28%,-18.0%,-6.72%,1000,932.8
total,BATUSDT,80.33,5,3,2,60.0%,7.0%,-12.0%,-5.0%,1000,950.0,9.28%,-12.0%,-2.72%,1000,972.8
total,AXSUSDT,71.0,5,3,2,60.0%,9.0%,-12.0%,-3.0%,1000,970.0,17.04%,-12.0%,5.04%,1000,1050.4
total,MATICUSDT,82.83,5,3,2,60.0%,9.0%,-12.0%,-3.0%,1000,970.0,13.96%,-12.0%,1.96%,1000,1019.6
total,NKNUSDT,102.67,5,3,2,60.0%,5.0%,-12.0%,-7.0%,1000,930.0,7.68%,-12.0%,-4.32%,1000,956.8
total,LINAUSDT,117.17,5,3,2,60.0%,9.0%,-12.0%,-3.0%,1000,970.0,13.96%,-12.0%,1.96%,1000,1019.6
total,SOLUSDT,48.0,5,3,2,60.0%,9.0%,-12.0%,-3.0%,1000,970.0,17.04%,-12.0%,5.04%,1000,1050.4
total,NEOUSDT,115.0,5,3,2,60.0%,7.0%,-12.0%,-5.0%,1000,950.0,12.36%,-12.0%,0.36%,1000,1003.6
total,LTCUSDT,122.83,7,4,3,57.14%,12.0%,-18.0%,-6.0%,1000,940.0,16.56%,-18.0%,-1.44%,1000,985.6
total,SUSHIUSDT,89.33,7,4,3,57.14%,12.0%,-18.0%,-6.0%,1000,940.0,13.48%,-18.0%,-4.52%,1000,954.8
total,CVXUSDT,119.0,7,4,3,57.14%,10.0%,-18.0%,-8.0%,1000,920.0,18.04%,-18.0%,0.04%,1000,1000.4
total,AUDIOUSDT,86.67,7,4,3,57.14%,10.0%,-18.0%,-8.0%,1000,920.0,11.88%,-18.0%,-6.12%,1000,938.8
total,FLMUSDT,115.33,7,4,3,57.14%,10.0%,-18.0%,-8.0%,1000,920.0,14.96%,-18.0%,-3.04%,1000,969.6
total,CFXUSDT,141.33,8,4,4,50.0%,8.0%,-24.0%,-16.0%,1000,840.0,10.28%,-24.0%,-13.72%,1000,862.8
total,CAKEUSDT,66.17,4,2,2,50.0%,6.0%,-12.0%,-6.0%,1000,940.0,11.36%,-12.0%,-0.64%,1000,993.6
total,ETCUSDT,76.0,4,2,2,50.0%,6.0%,-12.0%,-6.0%,1000,940.0,8.28%,-12.0%,-3.72%,1000,962.8
total,TRXUSDT,70.67,2,1,1,50.0%,3.0%,-6.0%,-3.0%,1000,970.0,2.6%,-6.0%,-3.4%,1000,966.0
total,KNCUSDT,77.0,4,2,2,50.0%,2.0%,-12.0%,-10.0%,1000,900.0,2.0%,-12.0%,-10.0%,1000,900.0
total,QTUMUSDT,77.33,6,3,3,50.0%,7.0%,-18.0%,-11.0%,1000,890.0,9.28%,-18.0%,-8.72%,1000,912.8
total,LITUSDT,86.33,4,2,2,50.0%,6.0%,-12.0%,-6.0%,1000,940.0,8.28%,-12.0%,-3.72%,1000,962.8
total,CHZUSDT,77.33,4,2,2,50.0%,6.0%,-12.0%,-6.0%,1000,940.0,8.28%,-12.0%,-3.72%,1000,962.8
total,MDTUSDT,90.33,4,2,2,50.0%,6.0%,-12.0%,-6.0%,1000,940.0,11.36%,-12.0%,-0.64%,1000,993.6
total,SFPUSDT,134.0,4,2,2,50.0%,2.0%,-12.0%,-10.0%,1000,900.0,2.0%,-12.0%,-10.0%,1000,900.0
total,ICXUSDT,54.83,4,2,2,50.0%,4.0%,-12.0%,-8.0%,1000,920.0,6.68%,-12.0%,-5.32%,1000,946.8
total,BAKEUSDT,111.17,8,4,4,50.0%,10.0%,-24.0%,-14.0%,1000,860.0,11.88%,-24.0%,-12.12%,1000,878.8
total,STORJUSDT,94.33,6,3,3,50.0%,7.0%,-18.0%,-11.0%,1000,890.0,12.36%,-18.0%,-5.64%,1000,943.6
total,ONTUSDT,120.33,6,3,3,50.0%,9.0%,-18.0%,-9.0%,1000,910.0,10.88%,-18.0%,-7.12%,1000,928.8
total,STEEMUSDT,45.17,4,2,2,50.0%,4.0%,-12.0%,-8.0%,1000,920.0,6.68%,-12.0%,-5.32%,1000,946.8
total,DARUSDT,120.33,7,3,4,42.86%,7.0%,-24.0%,-17.0%,1000,830.0,12.36%,-24.0%,-11.64%,1000,883.6
